year,university_id,name_en,SUM(enrolled),sum(students),sum(graduates),sum(entrants),sum(morning),sum(afternoon),sum(night),sum(full_time)
2009,00015,"Information systems",39,39,0,3,0,39,0,0
2009,00016,"Computer science",570,612,49,216,309,0,612,612
2009,00016,"Computer Sciences",933,1008,100,378,309,0,1008,1008
2009,00016,"Systems analysis and development (technologist)",204,222,30,89,0,0,222,222
2009,00017,"Computer science",374,420,59,95,0,0,0,0
2009,00017,"Computer Sciences",492,543,59,218,0,0,123,123
2009,00017,"Information systems",118,123,0,123,0,0,123,123
2009,00018,"Computer science",58,74,12,1,74,0,74,74
2009,00018,"Computer Sciences",192,240,38,48,74,0,240,240
2009,00018,"Systems analysis",6,6,5,0,0,0,6,6
2009,00018,"Systems analysis and development (technologist)",128,160,21,47,0,0,160,160
2009,00019,"Computer engineering (hardware)",379,405,47,67,0,0,0,0
2009,00019,"Computer Sciences",1061,1149,161,299,569,0,744,744
2009,00019,"Information systems",180,203,0,107,203,0,203,203
2009,00019,"Systems analysis",348,366,114,0,366,0,366,366
2009,00020,"Computer science",298,476,30,94,0,0,476,476
2009,00020,"Computer Sciences",609,979,61,331,0,0,979,979
2009,00020,"Systems analysis and development (technologist)",264,430,31,189,0,0,430,430
2009,00021,"Computer engineering",319,373,25,86,0,0,0,0
2009,00021,"Computer science",466,522,29,133,0,0,0,0
2009,00021,"Computer Sciences",1083,1222,103,285,0,0,700,700
2009,00021,"Information systems",617,700,74,152,0,0,700,700
2009,00022,"Computer science",682,761,58,205,761,0,761,761
2009,00022,"Computer Sciences",2279,2520,321,581,2520,0,2520,2520
2009,00022,"Information systems",1597,1759,263,376,1759,0,1759,1759
2009,00023,"Computer (IT) teacher education",86,117,21,3,0,0,117,117
2009,00023,"Computer science",282,362,56,46,0,0,362,362
2009,00023,"Computer Sciences",726,909,160,143,0,0,909,909
2009,00023,"Information systems",260,319,92,49,0,0,319,319
2009,00024,"Computer science",248,282,33,61,0,0,0,0
2009,00024,"Computer Sciences",248,282,33,61,0,0,0,0
2009,00027,"Computer science",49,63,17,18,0,0,63,63
2009,00027,"Computer Sciences",49,64,17,18,0,0,64,64
2009,00027,"Information systems",0,1,0,0,0,0,1,1
2009,00029,"Computer science",344,386,66,76,0,386,0,0
2009,00029,"Computer Sciences",344,386,66,76,0,386,0,0
2009,00030,"Computer science",174,215,31,28,0,0,215,215
2009,00030,"Computer Sciences",174,215,31,28,0,0,215,215
2009,00032,"Computer Sciences",131,132,19,44,0,0,132,132
2009,00033,"Computer Sciences",404,424,70,171,424,0,207,207
2009,00033,"Systems analysis and development (technologist)",404,424,70,171,424,0,207,207
2009,00034,"Computer Sciences",918,942,275,279,942,942,942,942
2009,00034,"Systems analysis and development (technologist)",918,942,275,279,942,942,942,942
2009,00035,"Computer Sciences",873,873,74,338,603,603,873,873
2009,00035,"Systems analysis and development (technologist)",603,603,0,338,603,603,603,603
2009,00036,"Computer Sciences",295,314,123,84,107,207,107,107
2009,00036,"Systems analysis and development (technologist)",99,107,74,0,107,0,107,107
2009,00037,"Computer Sciences",333,385,51,145,0,0,385,385
2009,00037,"Systems analysis and development (technologist)",333,385,51,145,0,0,385,385
2009,00040,"Computer Sciences",273,363,33,0,363,0,0,0
2009,00040,"Information systems",116,174,0,0,174,0,0,0
2009,00040,"Systems analysis",157,189,33,0,189,0,0,0
2009,00043,"Computer science",317,388,24,77,0,0,0,0
2009,00043,"Computer Sciences",1021,1241,83,313,0,0,853,853
2009,00043,"Information systems",272,348,14,156,0,0,348,348
2009,00043,"Systems analysis and development (technologist)",432,505,45,80,0,0,505,505
2009,00047,"Computer (IT) teacher education",250,282,56,57,0,0,282,282
2009,00047,"Computer science",91,91,0,48,0,0,91,91
2009,00047,"Computer Sciences",1308,1353,203,410,201,0,1152,1152
2009,00047,"Information systems",786,815,124,213,106,0,709,709
2009,00054,"Computational mathematics",143,176,25,16,0,0,0,0
2009,00054,"Computer engineering",347,384,67,9,0,0,0,0
2009,00054,"Computer engineering (hardware)",120,132,0,92,0,0,0,0
2009,00054,"Computer science",241,280,55,77,0,0,280,280
2009,00054,"Computer Sciences",680,785,109,272,0,0,507,507
2009,00054,"Systems analysis and development (technologist)",319,373,54,103,0,0,227,227
2009,00055,"Computational mathematics",133,174,12,91,0,0,80,80
2009,00055,"Computer science",806,870,111,181,0,0,0,0
2009,00055,"Computer Sciences",1886,2084,225,476,233,0,804,804
2009,00055,"Information systems",718,820,72,199,233,0,587,587
2009,00055,"Science of information",362,394,42,96,0,0,217,217
2009,00056,"Computer science",770,811,121,172,0,0,495,495
2009,00056,"Computer Sciences",960,1007,159,216,0,0,691,691
2009,00056,"Information systems",190,196,38,44,0,0,196,196
2009,00057,"Computer science",186,191,36,46,0,0,0,0
2009,00057,"Computer Sciences",555,572,66,124,0,0,381,381
2009,00057,"Science of information",226,232,19,44,0,0,232,232
2009,00067,"Computer science",132,200,23,42,0,0,200,200
2009,00067,"Computer Sciences",132,200,23,42,0,0,200,200
2009,00068,"Computer Sciences",10,10,0,0,10,0,10,10
2009,00068,"Information systems",10,10,0,0,10,0,10,10
2009,00071,"Computer science",371,420,6,99,420,0,0,0
2009,00071,"Computer Sciences",371,420,6,99,420,0,0,0
2009,00076,"Computer (IT) teacher education",6,7,4,0,0,0,7,7
2009,00076,"Computer science",394,526,39,73,526,0,526,526
2009,00076,"Computer Sciences",650,858,62,134,526,0,858,858
2009,00076,"Information systems",256,332,23,61,0,0,332,332
2009,00079,"Computer science",95,100,30,20,0,0,100,100
2009,00079,"Computer Sciences",95,100,30,20,0,0,100,100
2009,00080,"Computer Sciences",122,179,33,10,0,0,179,179
2009,00080,"Information systems",99,148,28,10,0,0,148,148
2009,00081,"Computer Sciences",206,234,31,82,234,0,234,234
2009,00081,"Information systems",206,234,31,82,234,0,234,234
2009,00082,"Computer engineering (hardware)",35,53,0,53,0,0,53,53
2009,00082,"Computer science",136,170,18,65,0,0,170,170
2009,00082,"Computer Sciences",709,891,94,453,0,46,845,845
2009,00082,"Information systems",438,541,61,280,0,9,532,532
2009,00082,"Systems analysis and development (technologist)",100,127,15,55,0,37,90,90
2009,00083,"Computer engineering",85,113,9,17,0,0,0,0
2009,00083,"Computer science",388,541,43,137,0,0,541,541
2009,00083,"Computer Sciences",547,774,54,255,0,0,774,774
2009,00087,"Computer Sciences",111,124,22,25,0,0,124,124
2009,00087,"Information systems",111,124,22,25,0,0,124,124
2009,00095,"Computer science",319,379,40,86,0,0,0,0
2009,00095,"Computer Sciences",319,379,40,86,0,0,0,0
2009,00107,"Computer science",45,50,0,50,0,0,0,0
2009,00107,"Computer Sciences",45,50,0,50,0,0,0,0
2009,00124,"Computer engineering (hardware)",140,154,13,48,0,0,154,154
2009,00124,"Computer Sciences",303,361,26,129,0,0,361,361
2009,00124,"Information systems",163,207,13,81,0,0,207,207
2009,00126,"Computer engineering",342,400,27,96,0,0,0,0
2009,00135,"Computer Sciences",114,128,20,45,0,0,128,128
2009,00135,"Information systems",114,128,20,45,0,0,128,128
2009,00137,"Computer science",174,181,17,58,0,0,181,181
2009,00137,"Computer Sciences",180,187,19,58,0,0,187,187
2009,00137,"Information systems",4,4,1,0,0,0,4,4
2009,00137,"Systems analysis",2,2,1,0,0,0,2,2
2009,00138,"Computer science",122,193,23,48,0,0,193,193
2009,00138,"Computer Sciences",150,238,23,93,0,0,238,238
2009,00140,"Computer Sciences",53,57,0,12,0,0,57,57
2009,00140,"Information systems",53,57,0,12,0,0,57,57
2009,00142,"Computer science",218,237,39,41,237,0,237,237
2009,00142,"Computer Sciences",543,587,84,186,237,0,587,587
2009,00142,"Information systems",321,346,41,144,0,0,346,346
2009,00143,"Computer engineering",224,276,23,88,0,0,142,142
2009,00143,"Computer Sciences",269,337,36,90,0,0,337,337
2009,00143,"Information systems",269,337,36,90,0,0,337,337
2009,00146,"Computer engineering",110,174,22,42,174,0,174,174
2009,00146,"Computer science",137,170,21,42,170,0,170,170
2009,00146,"Computer Sciences",161,209,21,81,209,0,209,209
2009,00150,"Computer science",94,99,7,13,99,0,99,99
2009,00150,"Computer Sciences",315,330,31,31,99,0,330,330
2009,00150,"Information systems",221,231,24,18,0,0,231,231
2009,00159,"Computer Sciences",316,423,46,377,0,0,423,423
2009,00159,"Systems analysis and development (technologist)",209,283,46,237,0,0,283,283
2009,00161,"Computer engineering",168,211,18,31,0,0,211,211
2009,00161,"Computer science",151,188,45,14,0,0,188,188
2009,00161,"Computer Sciences",176,221,64,15,0,0,221,221
2009,00161,"Information systems",25,33,19,1,0,0,33,33
2009,00163,"Computer Sciences",6414,8320,1083,2034,4348,0,8224,8224
2009,00163,"Information systems",3838,4842,688,816,2710,0,4842,4842
2009,00163,"Systems analysis",40,56,0,29,0,0,56,56
2009,00163,"Systems analysis and development (technologist)",1061,1402,152,546,502,0,1306,1306
2009,00165,"Computer (IT) teacher education",18,18,0,0,18,0,18,18
2009,00165,"Computer engineering (hardware)",59,59,0,59,59,0,59,59
2009,00165,"Computer graphics",78,78,0,78,78,0,78,78
2009,00165,"Computer science",588,589,41,116,589,0,589,589
2009,00165,"Computer Sciences",875,876,48,279,875,0,876,876
2009,00165,"Information systems",149,149,6,26,149,0,149,149
2009,00165,"Systems analysis and development (technologist)",1,1,1,0,0,0,1,1
2009,00166,"Computer Sciences",160,208,30,68,208,0,208,208
2009,00166,"Information systems",160,208,30,68,208,0,208,208
2009,00167,"Computer engineering",333,371,59,20,0,0,371,371
2009,00167,"Computer science",75,88,24,0,0,0,88,88
2009,00167,"Computer Sciences",773,945,121,120,0,0,945,945
2009,00167,"Information systems",235,276,13,16,0,0,276,276
2009,00167,"Systems analysis and development (technologist)",272,345,32,85,0,0,345,345
2009,00170,"Computer science",23,23,11,0,23,0,23,23
2009,00170,"Computer Sciences",23,23,11,0,23,0,23,23
2009,00176,"Computer Sciences",342,427,23,209,0,0,427,427
2009,00176,"Information systems",253,307,23,103,0,0,307,307
2009,00197,"Computer Sciences",111,137,3,32,0,0,137,137
2009,00197,"Information systems",111,137,3,32,0,0,137,137
2009,00198,"Computer science",333,500,32,97,500,0,500,500
2009,00198,"Computer Sciences",2475,3681,614,708,3245,0,3681,3681
2009,00198,"Information systems",260,430,0,142,430,0,430,430
2009,00198,"Systems analysis and development (technologist)",1565,2270,540,369,1834,0,2270,2270
2009,00199,"Management of systems analysis /information technology",3,3,3,0,0,0,3,3
2009,00203,"Computer engineering",259,315,27,90,0,0,315,315
2009,00203,"Computer science",541,645,76,224,552,0,645,645
2009,00203,"Computer Sciences",1055,1254,138,453,552,0,1254,1254
2009,00203,"Information systems",514,609,62,229,0,0,609,609
2009,00207,"Computer science",40,40,5,2,0,0,40,40
2009,00207,"Computer Sciences",40,40,5,2,0,0,40,40
2009,00208,"Computer engineering",76,84,13,36,84,0,0,0
2009,00208,"Computer Sciences",80,98,5,41,0,0,98,98
2009,00208,"Information systems",71,88,0,41,0,0,88,88
2009,00208,"Systems analysis",9,10,5,0,0,0,10,10
2009,00215,"Computer science",182,206,74,148,0,0,206,206
2009,00215,"Computer Sciences",604,709,137,597,503,0,709,709
2009,00215,"Information systems",94,103,24,83,103,0,103,103
2009,00215,"Systems analysis and development (technologist)",178,227,38,194,227,0,227,227
2009,00216,"Computer Sciences",56,95,14,93,0,0,95,95
2009,00216,"Systems analysis and development (technologist)",56,95,14,93,0,0,95,95
2009,00217,"Computer engineering",54,56,0,29,0,0,56,56
2009,00217,"Computer Sciences",42,46,10,16,0,0,46,46
2009,00217,"Information systems",42,46,10,16,0,0,46,46
2009,00218,"Computer Sciences",97,101,4,17,0,0,101,101
2009,00218,"Information systems",97,101,4,17,0,0,101,101
2009,00221,"Computer science",341,464,71,93,301,0,464,464
2009,00221,"Computer Sciences",841,1219,178,393,301,0,1219,1219
2009,00221,"Systems analysis and development (technologist)",241,376,54,156,0,0,376,376
2009,00222,"Computer engineering",88,105,15,47,0,0,105,105
2009,00222,"Computer Sciences",148,164,24,43,0,0,164,164
2009,00222,"Information systems",148,164,24,43,0,0,164,164
2009,00225,"Computer Sciences",230,270,38,91,0,0,270,270
2009,00225,"Information systems",113,128,14,43,0,0,128,128
2009,00225,"Systems analysis and development (technologist)",117,142,24,48,0,0,142,142
2009,00226,"Computer Sciences",31,46,11,24,0,0,46,46
2009,00226,"Systems analysis and development (technologist)",31,46,11,24,0,0,46,46
2009,00227,"Computer engineering",26,26,12,1,0,0,26,26
2009,00227,"Computer science",121,126,6,33,0,0,126,126
2009,00227,"Computer Sciences",229,239,16,99,0,0,239,239
2009,00227,"Information systems",60,62,10,15,0,0,62,62
2009,00240,"Computer engineering",44,53,4,5,53,0,0,0
2009,00240,"Computer Sciences",24,27,0,3,27,0,27,27
2009,00240,"Information systems",24,27,0,3,27,0,27,27
2009,00242,"Computer science",32,32,0,32,0,0,32,32
2009,00242,"Computer Sciences",206,206,22,124,0,0,206,206
2009,00242,"Systems analysis and development (technologist)",136,136,0,92,0,0,136,136
2009,00244,"Computer engineering",301,303,25,139,0,0,303,303
2009,00244,"Computer science",334,345,77,84,345,0,345,345
2009,00244,"Computer Sciences",1441,1519,239,470,1285,0,1519,1519
2009,00244,"Information systems",379,395,68,92,395,0,395,395
2009,00244,"Systems analysis and development (technologist)",511,545,57,208,545,0,545,545
2009,00254,"Computer Sciences",34,40,0,19,0,0,40,40
2009,00254,"Information systems",34,40,0,19,0,0,40,40
2009,00263,"Computer Sciences",70,84,8,16,0,0,84,84
2009,00263,"Information systems",70,84,8,16,0,0,84,84
2009,00264,"Computer science",1,1,0,0,0,0,1,1
2009,00264,"Computer Sciences",2,2,0,0,0,0,2,2
2009,00264,"Information systems",1,1,0,0,0,0,1,1
2009,00265,"Computer Sciences",170,197,32,7,197,0,197,197
2009,00265,"Information systems",170,197,32,7,197,0,197,197
2009,00266,"Computer science",62,73,3,30,73,0,0,0
2009,00266,"Computer Sciences",281,331,46,106,73,0,258,258
2009,00266,"Information systems",148,177,16,45,0,0,177,177
2009,00266,"Systems analysis and development (technologist)",3,3,0,1,0,0,3,3
2009,00267,"Computer science",325,444,34,118,444,0,444,444
2009,00267,"Computer Sciences",825,1141,54,391,486,0,1141,1141
2009,00267,"Information systems",231,307,10,79,0,0,307,307
2009,00267,"Systems analysis and development (technologist)",59,90,5,48,0,0,90,90
2009,00269,"Computer Sciences",68,77,28,30,77,0,77,77
2009,00269,"Information systems",68,77,28,30,77,0,77,77
2009,00269,"Management of systems analysis /information technology",10,10,10,0,0,0,10,10
2009,00271,"Computer science",109,126,16,36,0,0,0,0
2009,00271,"Computer Sciences",651,828,83,383,0,0,702,702
2009,00271,"Information systems",252,327,35,89,0,0,327,327
2009,00275,"Computer engineering",120,141,26,29,0,0,141,141
2009,00275,"Computer science",88,115,20,18,0,0,115,115
2009,00275,"Computer Sciences",88,115,20,18,0,0,115,115
2009,00277,"Computer science",422,930,60,124,0,0,930,930
2009,00277,"Computer Sciences",649,1388,144,217,0,0,1388,1388
2009,00277,"Systems analysis and development (technologist)",227,454,84,93,0,0,454,454
2009,00278,"Computer Sciences",308,406,53,98,406,0,406,406
2009,00278,"Systems analysis and development (technologist)",308,406,53,98,406,0,406,406
2009,00294,"Computer Sciences",161,163,7,55,0,0,163,163
2009,00294,"Information systems",106,106,2,28,0,0,106,106
2009,00295,"Computer (IT) teacher education",73,81,10,28,0,0,81,81
2009,00295,"Computer engineering (hardware)",70,77,3,31,77,0,0,0
2009,00295,"Computer science",289,345,12,79,345,0,345,345
2009,00295,"Computer Sciences",381,448,19,110,422,0,371,371
2009,00295,"Information systems",22,26,4,0,0,0,26,26
2009,00296,"Computer Sciences",357,443,22,132,0,0,443,443
2009,00296,"Information systems",265,321,22,79,0,0,321,321
2009,00298,"Computer engineering",278,325,65,88,325,0,325,325
2009,00298,"Computer Sciences",287,347,56,150,0,0,347,347
2009,00298,"Systems analysis and development (technologist)",287,347,56,150,0,0,347,347
2009,00308,"Computer engineering (hardware)",199,275,0,50,0,0,275,275
2009,00308,"Computer science",308,394,25,122,0,0,394,394
2009,00308,"Computer Sciences",1672,2034,196,633,0,0,2034,2034
2009,00308,"Information systems",746,873,110,199,0,0,873,873
2009,00308,"Systems analysis and development (technologist)",419,492,61,262,0,0,492,492
2009,00316,"Computer science",3565,4436,396,1526,4436,0,4436,4436
2009,00316,"Computer Sciences",8704,11253,968,5315,11209,0,11253,11253
2009,00316,"Information systems",691,1013,0,1013,993,0,1013,1013
2009,00316,"Systems analysis and development (technologist)",2072,2674,247,1223,2674,0,2674,2674
2009,00319,"Computer Sciences",145,217,27,139,0,0,217,217
2009,00319,"Systems analysis and development (technologist)",123,175,16,132,0,0,175,175
2009,00322,"Computer engineering",661,818,71,289,818,0,818,818
2009,00322,"Computer graphics",69,88,0,88,88,0,88,88
2009,00322,"Computer science",4495,5316,781,2002,5316,0,5316,5316
2009,00322,"Computer Sciences",9528,11484,1965,5495,11484,0,11484,11484
2009,00322,"Information systems",1623,1957,267,728,1957,0,1957,1957
2009,00322,"Systems analysis",214,293,0,293,293,0,293,293
2009,00322,"Systems analysis and development (technologist)",1399,1769,260,1320,1769,0,1769,1769
2009,00330,"Computer engineering",110,177,6,68,0,0,177,177
2009,00330,"Computer Sciences",124,176,47,27,0,0,176,176
2009,00330,"Information systems",124,176,47,27,0,0,176,176
2009,00337,"Computer Sciences",286,344,41,28,0,0,344,344
2009,00337,"Information systems",286,344,41,28,0,0,344,344
2009,00338,"Computer engineering (hardware)",167,187,0,77,187,0,0,0
2009,00338,"Computer science",806,867,83,180,0,505,362,362
2009,00338,"Computer Sciences",3362,3703,369,835,1284,505,2824,2824
2009,00338,"Information systems",2239,2462,266,491,910,0,2462,2462
2009,00343,"Computer Sciences",345,352,84,85,0,0,352,352
2009,00343,"Information systems",220,220,0,85,0,0,220,220
2009,00343,"Systems analysis and development (technologist)",125,132,84,0,0,0,132,132
2009,00344,"Computer engineering",111,154,0,115,0,0,154,154
2009,00344,"Computer Sciences",1236,1509,321,600,0,0,1509,1509
2009,00344,"Information systems",265,327,57,141,0,0,327,327
2009,00344,"Systems analysis and development (technologist)",512,637,135,276,0,0,637,637
2009,00349,"Computer science",406,512,39,144,512,0,512,512
2009,00349,"Computer Sciences",705,906,77,330,512,0,906,906
2009,00352,"Computer science",300,392,47,85,0,392,392,392
2009,00352,"Computer Sciences",300,392,47,85,0,392,392,392
2009,00355,"Computer engineering",2,2,0,2,0,0,2,2
2009,00355,"Computer science",76,77,0,12,0,0,77,77
2009,00355,"Computer Sciences",399,400,14,117,237,0,400,400
2009,00355,"Information systems",1,1,0,0,0,0,1,1
2009,00355,"Systems analysis and development (technologist)",237,237,14,65,237,0,237,237
2009,00360,"Computer Sciences",152,152,77,12,149,0,152,152
2009,00360,"Information systems",149,149,74,12,149,0,149,149
2009,00367,"Computer Sciences",165,165,32,37,0,0,0,0
2009,00367,"Information systems",165,165,32,37,0,0,0,0
2009,00374,"Computer science",175,189,26,139,0,0,189,189
2009,00374,"Computer Sciences",896,1006,104,866,0,0,1006,1006
2009,00374,"Systems analysis and development (technologist)",404,452,61,377,0,0,452,452
2009,00375,"Computer Sciences",170,202,39,53,0,0,202,202
2009,00375,"Information systems",170,202,39,53,0,0,202,202
2009,00376,"Computer Sciences",225,227,88,33,227,0,227,227
2009,00376,"Systems analysis and development (technologist)",225,227,88,33,227,0,227,227
2009,00383,"Computer science",186,189,20,38,0,189,189,189
2009,00383,"Computer Sciences",329,334,80,72,0,298,317,317
2009,00383,"Information systems",17,17,0,17,0,17,0,0
2009,00383,"Systems analysis and development (technologist)",90,92,36,14,0,92,92,92
2009,00384,"Computer Sciences",125,139,17,14,0,0,139,139
2009,00384,"Information systems",125,139,17,14,0,0,139,139
2009,00385,"Computer engineering",51,80,0,46,80,0,80,80
2009,00385,"Computer science",203,280,13,72,280,1,279,279
2009,00385,"Computer Sciences",856,1190,83,393,1050,146,1044,1044
2009,00385,"Information systems",252,371,11,140,371,145,226,226
2009,00386,"Computer engineering",87,90,2,26,90,0,90,90
2009,00386,"Computer Sciences",213,240,12,122,183,0,240,240
2009,00386,"Systems analysis and development (technologist)",58,61,10,16,4,0,61,61
2009,00387,"Computer science",83,94,19,34,94,0,0,0
2009,00387,"Computer Sciences",112,123,48,34,94,0,29,29
2009,00387,"Information systems",29,29,29,0,0,0,29,29
2009,00397,"Computer Sciences",140,178,30,44,0,178,178,178
2009,00397,"Information systems",136,172,29,44,0,172,172,172
2009,00397,"Systems analysis and development (technologist)",4,6,1,0,0,6,6,6
2009,00398,"Computer (IT) teacher education",145,205,0,169,0,0,205,205
2009,00398,"Computer science",140,207,17,83,0,207,0,0
2009,00398,"Computer Sciences",381,573,37,193,0,207,366,366
2009,00398,"Information systems",160,243,10,56,0,0,243,243
2009,00402,"Computer engineering",297,378,65,84,0,0,378,378
2009,00402,"Computer science",537,634,119,139,0,0,634,634
2009,00402,"Computer Sciences",701,858,154,239,0,0,858,858
2009,00402,"Systems analysis and development (technologist)",164,224,35,100,0,0,224,224
2009,00403,"Computer science",444,468,48,57,468,0,0,0
2009,00403,"Computer Sciences",1025,1071,81,383,468,0,603,603
2009,00403,"Information systems",322,339,33,65,0,0,339,339
2009,00403,"Systems analysis and development (technologist)",150,152,0,149,0,0,152,152
2009,00404,"Computer Sciences",721,808,98,251,808,0,808,808
2009,00404,"Information systems",721,808,98,251,808,0,808,808
2009,00409,"Computer engineering",376,398,39,69,398,0,0,0
2009,00409,"Computer Sciences",228,228,0,70,228,0,0,0
2009,00409,"Information systems",228,228,0,70,228,0,0,0
2009,00416,"Computer Sciences",159,249,0,51,249,0,249,249
2009,00417,"Computer science",165,167,16,58,0,0,167,167
2009,00417,"Computer Sciences",998,1018,283,322,0,0,1018,1018
2009,00417,"Systems analysis and development (technologist)",306,315,77,117,0,0,315,315
2009,00420,"Computer science",120,175,18,54,0,0,175,175
2009,00420,"Computer Sciences",120,175,18,54,0,0,175,175
2009,00423,"Computer science",444,497,47,61,0,0,404,404
2009,00423,"Computer Sciences",558,617,49,84,0,0,524,524
2009,00423,"Information systems",107,113,0,23,0,0,113,113
2009,00423,"Science of information",7,7,2,0,0,0,7,7
2009,00426,"Computer science",93,130,11,11,130,0,0,0
2009,00426,"Computer Sciences",358,480,40,74,130,0,350,350
2009,00426,"Information systems",265,350,29,63,0,0,350,350
2009,00430,"Computer science",54,74,0,48,0,0,74,74
2009,00430,"Computer Sciences",144,187,31,93,0,0,187,187
2009,00430,"Information systems",90,113,31,45,0,0,113,113
2009,00432,"Computer Sciences",89,94,29,34,0,0,94,94
2009,00432,"Systems analysis and development (technologist)",89,94,29,34,0,0,94,94
2009,00435,"Computer Sciences",119,146,21,72,146,0,146,146
2009,00435,"Systems analysis and development (technologist)",119,146,21,72,146,0,146,146
2009,00437,"Computer Sciences",1258,1392,321,499,0,0,1392,1392
2009,00437,"Information systems",836,926,196,334,0,0,926,926
2009,00437,"Systems analysis and development (technologist)",422,466,125,165,0,0,466,466
2009,00439,"Computer Sciences",92,115,44,0,0,0,115,115
2009,00439,"Information systems",92,115,44,0,0,0,115,115
2009,00441,"Computer science",65,72,6,13,0,0,72,72
2009,00441,"Computer Sciences",546,585,77,96,0,0,542,542
2009,00441,"Information systems",443,470,71,40,0,0,470,470
2009,00446,"Computer science",115,135,3,9,0,0,135,135
2009,00446,"Computer Sciences",115,135,3,9,0,0,135,135
2009,00448,"Computer Sciences",271,403,38,54,77,0,326,326
2009,00448,"Information systems",214,326,29,40,0,0,326,326
2009,00448,"Systems analysis and development (technologist)",57,77,9,14,77,0,0,0
2009,00449,"Computational mathematics",33,95,4,10,0,0,95,95
2009,00449,"Computer science",441,875,39,87,0,0,875,875
2009,00449,"Computer Sciences",1522,2919,159,355,0,0,2919,2919
2009,00449,"Information systems",747,1362,83,168,0,0,1362,1362
2009,00449,"Systems analysis and development (technologist)",147,262,11,62,0,0,262,262
2009,00450,"Computer Sciences",145,264,14,45,0,0,264,264
2009,00450,"Information systems",145,264,14,45,0,0,264,264
2009,00451,"Computer Sciences",187,245,18,44,0,0,245,245
2009,00451,"Information systems",187,245,18,44,0,0,245,245
2009,00452,"Computer Sciences",133,343,22,39,0,0,343,343
